投入時期	キーワード	マッチタイプ	最終ページURL	カテゴリ	停止基準
Week2	甲府 腰痛	インテントマッチ	https://stretchlabo.jp/	悩み系	CPA¥1500超で停止
Week2	山梨 腰痛	インテントマッチ	https://stretchlabo.jp/	悩み系	CPA¥1500超で停止
Week2	甲府 肩こり 解消	インテントマッチ	https://stretchlabo.jp/	悩み系	CPA¥1500超で停止
Week2	山梨 肩こり	インテントマッチ	https://stretchlabo.jp/	悩み系	CPA¥1500超で停止
Week2	甲府 慢性痛	インテントマッチ	https://stretchlabo.jp/	悩み系	CPA¥1500超で停止
Week3	甲府 ぎっくり腰	インテントマッチ	https://stretchlabo.jp/	悩み系	CPA¥1500超で停止
Week3	甲府 骨盤矯正	インテントマッチ	https://stretchlabo.jp/	訴求系	CPA¥1500超で停止
Week3	山梨 骨盤矯正	インテントマッチ	https://stretchlabo.jp/	訴求系	CPA¥1500超で停止
Week3	甲府 整体 体験	インテントマッチ	https://stretchlabo.jp/	訴求系	CPA¥1500超で停止
Week3	理学療法士 整体 甲府	インテントマッチ	https://stretchlabo.jp/	訴求系	LP記載要確認
Week4	甲府 もみほぐし	インテントマッチ	https://stretchlabo.jp/	リラク系	CPA¥1500超で停止
Week4	山梨 もみほぐし	インテントマッチ	https://stretchlabo.jp/	リラク系	CPA¥1500超で停止
Week4	甲府 リラクゼーション	インテントマッチ	https://stretchlabo.jp/	リラク系	CPA¥1500超で停止
Week4	甲府 筋膜リリース	インテントマッチ	https://stretchlabo.jp/	リラク系	CPA¥1500超で停止
